-5.073046875000000000000000000000000000000000000000000000000000000000000000000024e-01 -4.995000000000000000000000000000000000000000000000000000000000000000000000000084e-01 2.663821907335111464791830299210702589477761818657875216091058248698021698028772e-01 2.704649936678728564250166149967790321623573538944919450184766837139529724152346e-01 0
-5.151093750000000000000000000000000000000000000000000000000000000000000000000051e-01 -5.073046874999999999999999999999999999999999999999999999999999999999999999999938e-01 2.745477966022345663708502000724878053769385259231963684278475425581037750275747e-01 2.786305995365962763166837851481965785915196979519007918372184014022545776399321e-01 0
-5.073046875000000000000000000000000000000000000000000000000000000000000000000024e-01 -4.995000000000000000000000000000000000000000000000000000000000000000000000000084e-01 2.70464993667872856425016614996779032162357353894491945018476683713952972415226e-01 2.74547796602234566370850200072487805376938525923196368427847542558103775027579e-01 0
-5.073046875000000000000000000000000000000000000000000000000000000000000000000024e-01 -4.995000000000000000000000000000000000000000000000000000000000000000000000000084e-01 2.745477966022345663708502000724878053769385259231963684278475425581037750275747e-01 2.786305995365962763166837851481965785915196979519007918372184014022545776399321e-01 0
-5.229140625000000000000000000000000000000000000000000000000000000000000000000078e-01 -5.151093749999999999999999999999999999999999999999999999999999999999999999999965e-01 2.827134024709579862625173702239053518061008699806052152465892602464053802522852e-01 2.867962054053196962083509552996141250206820420093096386559601190905561828646469e-01 0
-5.307187500000000000000000000000000000000000000000000000000000000000000000000105e-01 -5.229140624999999999999999999999999999999999999999999999999999999999999999999992e-01 2.90879008339681406154184540375322898235263214038014062065330977934706985476987e-01 2.949618112740431161000181254510316714498443860667184854747018367788577880893444e-01 0
-5.229140625000000000000000000000000000000000000000000000000000000000000000000078e-01 -5.151093749999999999999999999999999999999999999999999999999999999999999999999965e-01 2.867962054053196962083509552996141250206820420093096386559601190905561828646383e-01 2.908790083396814061541845403753228982352632140380140620653309779347069854769913e-01 0
-5.229140625000000000000000000000000000000000000000000000000000000000000000000078e-01 -5.151093749999999999999999999999999999999999999999999999999999999999999999999965e-01 2.90879008339681406154184540375322898235263214038014062065330977934706985476987e-01 2.949618112740431161000181254510316714498443860667184854747018367788577880893444e-01 0
-5.151093750000000000000000000000000000000000000000000000000000000000000000000051e-01 -5.073046874999999999999999999999999999999999999999999999999999999999999999999938e-01 2.786305995365962763166837851481965785915196979519007918372184014022545776399278e-01 2.827134024709579862625173702239053518061008699806052152465892602464053802522895e-01 0
-5.151093750000000000000000000000000000000000000000000000000000000000000000000051e-01 -5.073046874999999999999999999999999999999999999999999999999999999999999999999938e-01 2.827134024709579862625173702239053518061008699806052152465892602464053802522852e-01 2.867962054053196962083509552996141250206820420093096386559601190905561828646469e-01 0
