Syntax: krawczyk2d(function, [Interval(lo, hi), Interval(lo, hi)], precision [default is 64])
Maybe a zero in [Interval(0e+00 with 64 bits of precision,2.70022912485527347671e-17 with 64 bits of precision),Interval(0e+00 with 64 bits of precision,4.95463077494508238338e-17 with 64 bits of precision)]
Maybe a zero in [Interval(6.2831853071789582209e+00 with 64 bits of precision,6.28318530717958600041e+00 with 64 bits of precision),Interval(0e+00 with 64 bits of precision,1.01218774541256655327e-12 with 64 bits of precision)]
Unique zero in [Interval(1.94363793460795054977e-01 with 64 bits of precision,1.94363793461301101055e-01 with 64 bits of precision),Interval(3.88727586921804021199e-01 with 64 bits of precision,3.88727586922383941398e-01 with 64 bits of precision)]
Maybe a zero in [Interval(0e+00 with 64 bits of precision,1.01721186812727362908e-13 with 64 bits of precision),Interval(4.40823505851080521225e-01 with 64 bits of precision,4.40823505851415802127e-01 with 64 bits of precision)]
Unique zero in [Interval(4.40823505850900822901e-01 with 64 bits of precision,4.40823505851590859172e-01 with 64 bits of precision),Interval(4.40823505849049369123e-01 with 64 bits of precision,4.40823505853443859076e-01 with 64 bits of precision)]
Maybe a zero in [Interval(7.76233727139752871147e-01 with 64 bits of precision,7.76233727209625828827e-01 with 64 bits of precision),Interval(5.81869933763197911159e-01 with 64 bits of precision,5.81869933776368516824e-01 with 64 bits of precision)]
Unique zero in [Interval(7.76233727230927085972e-01 with 64 bits of precision,7.76233727230927087327e-01 with 64 bits of precision),Interval(5.81869933769879597017e-01 with 64 bits of precision,5.81869933769879597396e-01 with 64 bits of precision)]
Unique zero in [Interval(1.30833140053895123352e+00 with 64 bits of precision,1.30833140055089598318e+00 with 64 bits of precision),Interval(8.6750789468784913767e-01 with 64 bits of precision,8.6750789469950216284e-01 with 64 bits of precision)]
Unique zero in [Interval(2.05870060429501620589e+00 with 64 bits of precision,2.05870060429501651011e+00 with 64 bits of precision),Interval(1.28246687706408890172e+00 with 64 bits of precision,1.28246687706408902163e+00 with 64 bits of precision)]
Unique zero in [Interval(3.14159265358979185659e+00 with 64 bits of precision,3.14159265358979249887e+00 with 64 bits of precision),Interval(1.83326125304486579372e+00 with 64 bits of precision,1.83326125304486614879e+00 with 64 bits of precision)]
Maybe a zero in [Interval(3.14159265358979300021e+00 with 64 bits of precision,3.14159265358979321444e+00 with 64 bits of precision),Interval(1.8332612530448655076e+00 with 64 bits of precision,1.83326125304486654409e+00 with 64 bits of precision)]
Unique zero in [Interval(4.22448470288416235699e+00 with 64 bits of precision,4.22448470288498017849e+00 with 64 bits of precision),Interval(2.1657840985895212985e+00 with 64 bits of precision,2.16578409858958981053e+00 with 64 bits of precision)]
Unique zero in [Interval(6.08882151371816868332e+00 with 64 bits of precision,6.08882151371890980749e+00 with 64 bits of precision),Interval(5.81869933769354367309e-01 with 64 bits of precision,5.81869933770404793602e-01 with 64 bits of precision)]
Maybe a zero in [Interval(6.2831853071794823264e+00 with 64 bits of precision,6.28318530717958600041e+00 with 64 bits of precision),Interval(4.40823505851075972916e-01 with 64 bits of precision,4.40823505851421980968e-01 with 64 bits of precision)]
Unique zero in [Interval(5.84236180132833753413e+00 with 64 bits of precision,5.84236180132833754757e+00 with 64 bits of precision),Interval(8.67507894693677170334e-01 with 64 bits of precision,8.67507894693677185187e-01 with 64 bits of precision)]
Unique zero in [Interval(5.50695157994857805318e+00 with 64 bits of precision,5.50695157994874060457e+00 with 64 bits of precision),Interval(1.28246687706399043567e+00 with 64 bits of precision,1.28246687706418747976e+00 with 64 bits of precision)]
